source,target,int,,,,,,,
MAPK1,MAPK1,dephosphorylation,,,,,,,
MAPK1,MAPK1,dephosphorylation,,,,,,,
MAPK1,MAPK1,phosphorylation,,,,,,,
MAPK1,MAPK1,phosphorylation,,,,,,,
MAPK1,MAPK1,phosphorylation,,,,,,,
MAPK6,MAPK1,phosphorylation,,,,,,,
PRKCA,MAPK1,phosphorylation,,,,,,,
PRKCA,MAPK1,phosphorylation,,,,,,,
PTPN7,MAPK1,inhibition;,binding,,,,,,
PTPN7,MAPK1,dephosphorylation,,,,,,,
RAF1,MAPK1,phosphorylation,,,,,,,
RAF1,MAPK1,phosphorylation,,,,,,,
RAF1,MAPK1,phosphorylation,,,,,,,
MAP2K3,MAPK11,activation;,phosphorylation,,,,,,
MAP2K4,MAPK11,activation;,phosphorylation,,,,,,
MAP2K6,MAPK11,activation;,phosphorylation,,,,,,
MAP2K6,MAPK11,activation;,phosphorylation,,,,,,
MAP2K6,MAPK11,phosphorylation,,,,,,,
MAP2K3,MAPK12,activation;,phosphorylation,,,,,,
MAP2K4,MAPK12,activation;,phosphorylation,,,,,,
MAP2K6,MAPK12,activation;,phosphorylation,,,,,,
MAP2K3,MAPK13,activation;,phosphorylation,,,,,,
MAP2K3,MAPK13,phosphorylation,,,,,,,
MAP2K4,MAPK13,activation;,phosphorylation,,,,,,
MAP2K6,MAPK13,activation;,phosphorylation,,,,,,
MAP2K6,MAPK13,phosphorylation,,,,,,,
MAP2K7,MAPK13,activation;,phosphorylation,,,,,,
MAP2K7,MAPK13,activation;,phosphorylation,,,,,,
PPM1A,MAPK13,inhibition;,binding;,dephosphorylation,,,,,
PPM1A,MAPK13,dephosphorylation,,,,,,,
PPM1D,MAPK13,dephosphorylation,,,,,,,
DUSP1,MAPK14,inhibition;,dephosphorylation;,binding,,,,,
DUSP1,MAPK14,dephosphorylation,,,,,,,
HDAC3,MAPK14,deacetylation,,,,,,,
HDAC3,MAPK14,deacetylation,,,,,,,
HDAC3,MAPK14,deacetylation,,,,,,,
MAP2K3,MAPK14,activation;,phosphorylation,,,,,,
MAP2K3,MAPK14,phosphorylation,,,,,of,protein,activity
MAP2K3,MAPK14,phosphorylation,,,,,,,
MAP2K3,MAPK14,phosphorylation,,,,,,,
MAP2K3,MAPK14,phosphorylation,,,,,,,
MAP2K4,MAPK14,activation;,phosphorylation,,,,,,
MAP2K4,MAPK14,phosphorylation,,,,,,,
MAP2K4,MAPK14,phosphorylation,,,,,,,
MAP2K6,MAPK14,activation;,phosphorylation;,binding,,,,,
MAP2K6,MAPK14,activation;,phosphorylation,,,,,,
MAP2K6,MAPK14,phosphorylation,,,,,,,
MAP2K6,MAPK14,phosphorylation,,,,,,,
MAP2K6,MAPK14,phosphorylation,,,,,,,
MAP2K6,MAPK14,phosphorylation,,,,,,,
MAP2K7,MAPK14,phosphorylation,,,,,,,
MAP2K7,MAPK14,phosphorylation,,,,,,,
MAP2K7,MAPK14,phosphorylation,,,,,,,
MAP2K7,MAPK14,phosphorylation,,,,,,,
MAPK14,MAPK14,phosphorylation,,,,,,,
MAPK14,MAPK14,phosphorylation,,,,,,,
MAPK14,MAPK14,phosphorylation,,,,,,,
MAPK14,MAPK14,phosphorylation,,,,,,,
MAPK14,MAPK14,phosphorylation,,,,,,,
MAPK14,MAPK14,phosphorylation,,,,,,,
MAPK14,MAPK14,dephosphorylation,,,,,,,
MAPK14,MAPK14,phosphorylation,,,,,,,
PBK,MAPK14,phosphorylation,,,,,,,
PBK,MAPK14,phosphorylation,,,,,,,
PPM1A,MAPK14,dephosphorylation,,,,,,,
PPM1A,MAPK14,dephosphorylation,,,,,,,
PPM1D,MAPK14,dephosphorylation,,,,,,,
TAB1,MAPK14,activation;,binding,,,,,,
DUSP1,MAPK3,dephosphorylation,,,,,,,
MAP2K1,MAPK3,activation;,phosphorylation;,binding,,,,,
MAP2K1,MAPK3,phosphorylation,,,,,,,
PAK2,MAPK6,phosphorylation,,,,,,,
PAK2,MAPK6,phosphorylation,,,,,,,
DUSP1,MAPK8,dephosphorylation,,,,,,,
KAT2B,MAPK8,acetylation,,,,,,,
MAP2K3,MAPK8,activation;,phosphorylation,,,,,,
MAP2K4,MAPK8,activation;,phosphorylation,,,,,,
MAP2K4,MAPK8,phosphorylation,,,,,,,
MAP2K6,MAPK8,activation;,phosphorylation,,,,,,
MAP2K7,MAPK8,activation;,phosphorylation,,,,,,
MAP2K7,MAPK8,phosphorylation,,,,,,,
MAP2K3,MAPK9,activation;,phosphorylation,,,,,,
MAP2K4,MAPK9,activation;,phosphorylation,,,,,,
MAP2K4,MAPK9,phosphorylation,,,,,,,
MAP2K6,MAPK9,activation;,phosphorylation,,,,,,
MAP2K7,MAPK9,activation;,phosphorylation,,,,,,
MAP2K7,MAPK9,activation;,phosphorylation,,,,,,
MAP2K7,MAPK9,phosphorylation,,,,,,,
PAK2,MAPK9,activation,,,,,,,
MTOR,MAPKAP1:MLST8:MTOR:RICTOR,binding;,reversible,,,,,,
MAPK11,MAPKAPK2,activation;,phosphorylation,,,,,,
MAPK11,MAPKAPK2,phosphorylation,,,,,,,
MAPK12,MAPKAPK2,phosphorylation,,,,,,,
MAPK14,MAPKAPK2,activation;,phosphorylation,,,,,,
MAPK14,MAPKAPK2,phosphorylation,,,,,,,
MAPK14,MAPKAPK2,phosphorylation,,,,,,,
MAPK14,MAPKAPK2,phosphorylation,,,,,,,
MAPK14,MAPKAPK2,phosphorylation,,,,,,,
MAPK14,MAPKAPK2,phosphorylation,,,,,,,
MAPK6,MAPKAPK2,activation;,phosphorylation,,,,,,
MAPK6,MAPKAPK2,activation;,phosphorylation,,,,,,
MAPK14,MAPKAPK3,activation;,phosphorylation,,,,,,
MAPK14,MAPKAPK3,activation;,phosphorylation,,,,,,
MAPK14,MAPKAPK3,activation;,phosphorylation,,,,,,
MAPK6,MAPKAPK3,unknown;,phosphorylation,,,,,,
AKT1,MDM2,phosphorylation,,,,,,,
TP53,MDM2,phosphorylation,,,,,,,
TRIM28,MDM2,sumoylation,,,,,,,
MTOR,MTOR:RICTOR,binding;,reversible,,,,,,
MTOR,MTOR:RPTOR,binding;,reversible,,,,,,
CHUK,NFKBIA,phosphorylation,,,,,,,
EIF2AK2,NFKBIA,phosphorylation,,,,,,,
EIF2AK2,NFKBIA,phosphorylation,,,,,,,
IKBKB,NFKBIA,phosphorylation,,,,,,,
IKBKB,NFKBIA,phosphorylation,,,,,,,
RAF1,NFKBIA,inhibition;,phosphorylation;,binding,,,,,
RPS6KA1,NFKBIA,phosphorylation,,,,,,,
JUN,NOTCH1,decrease,of,abundance,,,,,
TP53,NOTCH1,increase,of,abundance,,,,,
GSK3B,OGT,phosphorylation,,,,,,,
GSK3B,OGT,phosphorylation,,,,,,,
CDK5,PAK1,phosphorylation,,,,,,,
CSNK2A1,PAK1,phosphorylation,,,,,,,
MAPK1,PAK1,phosphorylation,,,,,,,
MAPK1,PAK1,phosphorylation,,,,,,,
RAC1,PAK1,activation;,binding,,,,,,
STK11,PAK1,phosphorylation,,,,,,,
KAT2B,PDPK1,acetylation,,,,,,,
MAPKAPK2,PIAS1,phosphorylation,,,,,,,
SUMO1,PIAS1,activation;,sumoylation,,,,,,
RELA,PKM,increase,of,abundance,,,,,
CDK6,PKN1,phosphorylation,,,,,,,
AURKA,PLK1,phosphorylation,,,,,,,
CDK1,PLK1,phosphorylation,,,,,,,
CDK1,PLK1,phosphorylation,,,,,,,
CDK1,PLK1,phosphorylation,,,,,,,
MAPKAPK2,PLK1,phosphorylation,,,,,,,
MAPKAPK2,PLK1,phosphorylation,,,,,,,
PAK1,PLK1,phosphorylation,,,,,,,
PRKACA,PLK1,activation;,phosphorylation,,,,,,
STK10,PLK1,phosphorylation,,,,,,,
STK10,PLK1,phosphorylation,,,,,,,
HIPK2,PPM1D,phosphorylation,,,,,,,
RELA,PPM1D,increase,of,abundance,,,,,
PRKCD,PPP2CA,phosphorylation,,,,,,,
DKK1,PRKCA,increase,of,abundance,,,,,
MTOR:RICTOR,PRKCA,phosphorylation,,,,,,,
CASP3,PRKCD,processing,,,,,,,
PPM1A,PRKCD,dephosphorylation,,,,,,,
RPS6KA3,PTK6,increase,of,abundance,,,,,
AKT1,PTPN1,phosphorylation,,,,,,,
AKT1,PTPN1,phosphorylation,,,,,,,
AKT1,PTPN1,phosphorylation,,,,,,,
MAPK3,PTPN11,phosphorylation,,,,,,,
MAPK6,PTPN7,activation;,binding;,phosphorylation,,,,,
AKT1,RAC1,inhibition;,phosphorylation,,,,,,
AKT1,RAF1,inhibition;,phosphorylation;,binding,,,,,
AKT1,RAF1,phosphorylation,,,,,,,
PRKCA,RAF1,phosphorylation,,,,,,,
PRMT5,RAF1,methylation,,,,,,,
MAPK8,RARA,phosphorylation,,,,,,,
MAPK8,RARA,phosphorylation,,,,,,,
MAPK9,RARA,phosphorylation,,,,,,,
