name apoptosis bid caspase ceramide disc fas fasl fast gpcr gzmb iap ifngt nfkb pdgfr pi3k s1p sphk1 tpl2 tradd
attr_298 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_299 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_300 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_302 1 1 1 1 1 1 1 1 0 0 0 X 1 0 X 0 0 1 0
attr_303 1 1 1 1 1 1 1 1 0 0 0 X 1 0 X 0 0 X 0
attr_304 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_305 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_306 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_307 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_308 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_309 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_310 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_311 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_312 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_313 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_314 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_315 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_316 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_317 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_318 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_319 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_320 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_321 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_322 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_323 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_324 1 1 1 1 1 1 1 1 0 X 0 X 1 0 X 0 0 X 0
attr_326 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_327 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_328 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_329 1 1 1 X 0 X X X 0 1 0 1 X 0 X 0 0 0 0
attr_330 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_331 1 1 1 1 1 1 1 1 0 X 0 X 1 0 X 0 0 1 0
attr_333 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_334 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_336 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_337 X X X X X X 1 1 X 1 X 1 1 1 1 X 1 1 0
attr_338 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_339 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_340 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_341 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_342 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_343 X X X X X X 1 1 X 1 X 1 1 1 1 X 1 1 0
attr_344 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_345 X X X X X X 1 1 X 1 X 1 1 1 1 X 1 1 0
attr_347 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_348 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_349 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_350 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_351 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_352 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_353 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_354 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_355 1 1 1 0 X 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_356 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_357 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_358 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_359 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_360 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_362 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_363 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_364 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_365 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_366 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_367 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_368 1 1 1 1 1 1 1 1 0 0 0 X 1 0 X 0 0 X 0
attr_369 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_370 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_371 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_372 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_373 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_374 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_376 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_377 1 1 1 1 1 1 1 1 0 0 0 X 1 0 X 0 0 X 0
attr_378 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_379 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_380 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_381 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_382 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_383 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_384 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 0
attr_385 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_386 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 0
attr_388 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_390 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_391 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_392 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_394 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_395 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_396 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_397 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_398 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_400 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_402 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_403 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_404 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_405 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_406 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
attr_407 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_409 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_410 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_411 X X X X X X 1 1 X 1 X 1 1 1 1 X 1 1 0
attr_412 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_413 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_414 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
