ID	Ensembl ID	Average Intensity	UniProt ID	Gene symbol ID
MO000133047	ENSG00000124228	79.07749006523677	Q96GQ7	
MO000133054	ENSG00000130810	36.92040603592549	Q9NQ55-2	
MO000133058	ENSG00000077312	333.2695982603265	P09012	SNRPA
MO000133061	ENSG00000079257	50.520311869988966	Q9BS40	
MO000133071	ENSG00000166855	66.12228570124293	O76031	
MO000133074	ENSG00000146282	1.4586397949772802	Q5T160	
MO000133076	ENSG00000143499	5.452743861005031	Q9NRG4	
MO000133081	ENSG00000143499	5.452743861005031	Q9NRG4	
MO000133082	ENSG00000084733	897.2135471609568	P61026	
MO000133083	ENSG00000084733	897.2135471609568	P61026	
MO000133089	ENSG00000072518	23.008537548636788	Q7KZI7-8	
MO000133098	ENSG00000074071	48.33643412140299	P82930	
MO000133101	ENSG00000074696	96.79431631676904	Q9P035	
MO000133105	ENSG00000167005	1008.4347887786732	O43809	
MO000133107	ENSG00000167005	1008.4347887786732	O43809	
MO000133109	ENSG00000075785	1308.181804105041	P51149	
MO000133114	ENSG00000114209	105.82280645824423	Q9BUL8	
MO000133116	ENSG00000181789	654.1277194298864	Q9Y678	
MO000133117	ENSG00000181789	654.1277194298864	Q9Y678	
MO000133119	ENSG00000164070	251.5149322218889	O95757	
MO000133121	ENSG00000127463	111.82748198055086	Q8N766	
MO000133124	ENSG00000127463	111.82748198055086	Q8N766	
MO000133127	ENSG00000164024	299.4825310054515	P53582	
MO000133129	ENSG00000188976	59.55872463681311	Q9Y3T9	
MO000133130	ENSG00000188976	59.55872463681311	Q9Y3T9	
MO000133132	ENSG00000188986	48.06413596197618	Q8WX92	
MO000133133	ENSG00000188986	48.06413596197618	Q8WX92	
MO000133134	ENSG00000136813	182.96130403231223	Q5VYK3	
MO000133135	ENSG00000136813	182.96130403231223	Q5VYK3	
MO000133140	ENSG00000140612	87.57085332427404	P67812	
MO000133143	ENSG00000008294	88.32353681933046	O60271,O60271-2,O60271-9	
MO000133147	ENSG00000064419	49.19999416421888	Q9Y5L0	
MO000133150	ENSG00000188529	340.53302599604194	O75494-2,O75494-3,O75494-5	
MO000133154	ENSG00000064419	49.19999416421888	Q9Y5L0	
MO000133155	ENSG00000008294	88.32353681933046	O60271,O60271-2,O60271-9	
MO000133159	ENSG00000188529	340.53302599604194	O75494-2,O75494-3,O75494-5	
MO000133161	ENSG00000155366	5583.408784282845	P08134	
MO000133163	ENSG00000188529	340.53302599604194	O75494-2,O75494-3,O75494-5	
MO000133164	ENSG00000101608	7012.343190499555	P19105	
MO000133166	ENSG00000197157	1230.6848885289132	Q7KZF4	
MO000133170	ENSG00000197976	5.2373774899547465	Q02040	
MO000133172	ENSG00000075413	10.841141087197471	P27448-3	
MO000133176	ENSG00000174238	88.27055797356705	Q00169	
MO000133178	ENSG00000197976	5.2373774899547465	Q02040	
MO000133188	ENSG00000145191	86.79463024639104	Q13144	
MO000133189	ENSG00000182973	9.916891212062787	Q9H9A5	
MO000133193	ENSG00000182973	9.916891212062787	Q9H9A5	
MO000133202	ENSG00000182973	9.916891212062787	Q9H9A5	
MO000133212	ENSG00000178695	159.63770033024298	Q96CX2	
MO000133217	ENSG00000144848	149.95262935226424	Q9NT62	
