ID	UniProt ID	average_intensity
ENSG00000075420	Q53EP0	6.02
ENSG00000075426	P15408-3	13.3
ENSG00000075568	Q92545	1.76
ENSG00000075618	Q16658	4110.0
ENSG00000075643	Q96EN8	107.0
ENSG00000075673	P54707	174.0
ENSG00000075711	Q12959-4,Q12959-5	52.0
ENSG00000075785	P51149	1780.0
ENSG00000075856	Q15020	109.0
ENSG00000075886	Q13748	36000.0
ENSG00000075914	Q15024	113.0
ENSG00000075945	Q92845	67.2
ENSG00000076003	Q14566	264.0
ENSG00000076053	Q9Y580	18.1
ENSG00000076067	Q15434	25.7
ENSG00000076201	Q9H3S7	33.6
ENSG00000076242	P40692	4.81
ENSG00000076248	P13051	15.3
ENSG00000076356	O75051	316.0
ENSG00000076513	Q8IZ07	40.5
ENSG00000076554	P55327-2,P55327-4	522.0
ENSG00000076555	O00763	3.08
ENSG00000076685	P49902	22.5
ENSG00000076826	Q9P1Y5,Q9P1Y5-2	30.3
ENSG00000076928	Q92888,Q92888-3	143.0
ENSG00000076944	Q15833	7.47
ENSG00000076984	O14733	18.7
ENSG00000077080	O94805	74.2
ENSG00000077097	Q02880	81.0
ENSG00000077147	Q9HD45	154.0
ENSG00000077150	Q00653,Q00653-4	29.4
ENSG00000077152	Q9NPD8	19.1
ENSG00000077232	Q8IXB1	63.6
ENSG00000077235	Q12789-3	9.2
ENSG00000077312	P09012	690.0
ENSG00000077348	Q9NQT4	148.0
ENSG00000077380	Q13409-2,Q13409-3	490.0
ENSG00000077454	O75427	206.0
ENSG00000077514	Q15054	10.9
ENSG00000077522	P35609	1710.0
ENSG00000077549	P47756	1870.0
ENSG00000077721	P49459	364.0
ENSG00000077782	P11362-4	15.5
ENSG00000077942	P23142,P23142-4	4.4
ENSG00000078018	P11137-3	0.0608
ENSG00000078043	O75928-3	1.22
ENSG00000078061	P10398	7.86
ENSG00000078114	O76041-2	136.0
ENSG00000078140	P61086	906.0
ENSG00000078237	Q9NQ88	243.0
ENSG00000078269	O15056	11.0
ENSG00000078304	Q13362,Q13362-4	85.7
ENSG00000078369	P62873	830.0
ENSG00000078618	O43847	99.2
ENSG00000078668	Q9Y277	2100.0
ENSG00000078674	Q15154	22.9
ENSG00000078747	Q96J02-2	18.0
ENSG00000078808	Q9BRK5	5.2
ENSG00000078814	A7E2Y1	15.9
ENSG00000078902	Q9H0E2	95.9
ENSG00000079134	Q96FV9	57.5
ENSG00000079156	Q9BZF3-4	14.0
ENSG00000079246	P13010	2310.0
ENSG00000079257	Q9BS40	71.2
ENSG00000079332	Q9NR31	2440.0
ENSG00000079387	Q9P0U3-2	0.33
ENSG00000079459	P37268	203.0
ENSG00000079462	Q15102	832.0
ENSG00000079557	P43652	16.3
ENSG00000079616	Q14807	1.52
ENSG00000079691	Q5VZK9	25.5
ENSG00000079739	P36871	916.0
ENSG00000079785	Q92499	606.0
ENSG00000079805	P50570,P50570-2	322.0
ENSG00000079819	O43491	6.89
ENSG00000079950	O15400	205.0
ENSG00000079999	Q14145	37.0
ENSG00000080345	Q5UIP0	6.61
ENSG00000080371	Q9UL25	198.0
ENSG00000080503	P51531-2	326.0
ENSG00000080603	Q6ZRS2-2	5.72
ENSG00000080608	Q15397	85.9
ENSG00000080802	O95628-8	2.42
ENSG00000080815	P49768-7	2.39
ENSG00000080819	P36551	144.0
ENSG00000080824	P07900,P07900-2	18000.0
ENSG00000080845	Q9Y2H0-3	16.5
ENSG00000080986	O14777	12.3
ENSG00000081154	Q8WW12	611.0
ENSG00000081177	Q9NVH0	41.3
ENSG00000081307	Q9GZZ9	141.0
ENSG00000081721	Q9UNI6	54.0
ENSG00000081760	Q86V21	75.9
ENSG00000082014	Q6STE5-2	15.2
ENSG00000082068	Q9NW82	9.84
ENSG00000082153	Q7L1Q6,Q7L1Q6-2	545.0
ENSG00000082212	P23368	464.0
ENSG00000082213	Q49AR2	17.2
ENSG00000082438	Q53SF7-4	6.74
ENSG00000082458	Q92796-2	85.4
ENSG00000082516	Q8TEQ6	161.0
ENSG00000082701	P49841	136.0
ENSG00000082781	P18084	37.5
ENSG00000082805	Q8IUD2	39.3
ENSG00000082898	O14980	843.0
ENSG00000083123	P21953	92.3
ENSG00000083168	Q92794	5.22
ENSG00000083223	Q5VYS8	2.74
ENSG00000083312	Q92973-2	518.0
ENSG00000083444	Q02809	110.0
ENSG00000083520	Q9Y2L1	144.0
