Initial_state Attr label label2
is_039377 195 Apoptosis Apoptosis_529
is_039379 195 Apoptosis Apoptosis_530
is_039427 195 Apoptosis Apoptosis_531
is_039475 195 Apoptosis Apoptosis_532
is_039506 195 Apoptosis Apoptosis_533
is_039548 195 Apoptosis Apoptosis_534
is_039592 195 Apoptosis Apoptosis_535
is_039603 195 Apoptosis Apoptosis_536
is_039708 195 Apoptosis Apoptosis_537
is_039860 284 Leukemia2 Leukemia2_25
is_039891 195 Apoptosis Apoptosis_538
is_039912 195 Apoptosis Apoptosis_539
is_039936 195 Apoptosis Apoptosis_540
is_039987 195 Apoptosis Apoptosis_541
is_040015 195 Apoptosis Apoptosis_542
is_040252 195 Apoptosis Apoptosis_543
is_040334 195 Apoptosis Apoptosis_544
is_040400 195 Apoptosis Apoptosis_545
is_040408 195 Apoptosis Apoptosis_546
is_040444 195 Apoptosis Apoptosis_547
is_040455 284 Leukemia2 Leukemia2_26
is_040458 195 Apoptosis Apoptosis_548
is_040670 284 Leukemia2 Leukemia2_27
is_040699 195 Apoptosis Apoptosis_549
is_040707 195 Apoptosis Apoptosis_550
is_040708 195 Apoptosis Apoptosis_551
is_040738 195 Apoptosis Apoptosis_552
is_040809 195 Apoptosis Apoptosis_553
is_040813 195 Apoptosis Apoptosis_554
is_040847 195 Apoptosis Apoptosis_555
is_040882 195 Apoptosis Apoptosis_556
is_040894 195 Apoptosis Apoptosis_557
is_041017 195 Apoptosis Apoptosis_558
is_041278 195 Apoptosis Apoptosis_559
is_041360 195 Apoptosis Apoptosis_560
is_041375 507 Leukemia1 Leukemia1_2
is_041466 195 Apoptosis Apoptosis_561
is_041471 195 Apoptosis Apoptosis_562
is_041480 195 Apoptosis Apoptosis_563
is_041517 195 Apoptosis Apoptosis_564
is_041532 195 Apoptosis Apoptosis_565
is_041541 195 Apoptosis Apoptosis_566
is_041679 195 Apoptosis Apoptosis_567
is_041875 195 Apoptosis Apoptosis_568
is_041919 195 Apoptosis Apoptosis_569
is_042014 195 Apoptosis Apoptosis_570
is_042017 195 Apoptosis Apoptosis_571
is_042055 284 Leukemia2 Leukemia2_28
is_042097 195 Apoptosis Apoptosis_572
is_042124 195 Apoptosis Apoptosis_573
is_042227 195 Apoptosis Apoptosis_574
is_042256 195 Apoptosis Apoptosis_575
is_042281 195 Apoptosis Apoptosis_576
is_042294 195 Apoptosis Apoptosis_577
is_042414 195 Apoptosis Apoptosis_578
is_042423 284 Leukemia2 Leukemia2_29
is_042461 195 Apoptosis Apoptosis_579
is_042527 195 Apoptosis Apoptosis_580
is_042549 195 Apoptosis Apoptosis_581
is_042680 195 Apoptosis Apoptosis_582
is_042702 195 Apoptosis Apoptosis_583
is_042792 195 Apoptosis Apoptosis_584
is_042908 195 Apoptosis Apoptosis_585
is_042924 195 Apoptosis Apoptosis_586
is_043022 195 Apoptosis Apoptosis_587
is_043216 195 Apoptosis Apoptosis_588
is_043430 195 Apoptosis Apoptosis_589
is_043486 195 Apoptosis Apoptosis_590
is_043564 195 Apoptosis Apoptosis_591
is_043741 195 Apoptosis Apoptosis_592
is_043781 284 Leukemia2 Leukemia2_30
is_043961 195 Apoptosis Apoptosis_593
is_044149 195 Apoptosis Apoptosis_594
is_044180 195 Apoptosis Apoptosis_595
is_044295 195 Apoptosis Apoptosis_596
is_044383 195 Apoptosis Apoptosis_597
is_044428 195 Apoptosis Apoptosis_598
is_044447 195 Apoptosis Apoptosis_599
