attr	D_hierarchical_3	D_hierarchical_4	D_km_2	D_km_3
attractor701	1	1	1	3
attractor702	2	2	2	2
attractor703	3	4	2	2
attractor704	2	2	2	2
attractor705	1	1	1	3
attractor706	2	2	2	1
attractor707	2	2	2	1
attractor708	2	2	2	1
attractor709	1	1	1	3
attractor710	3	4	1	3
attractor711	2	2	2	2
attractor712	2	3	2	1
attractor713	2	2	2	2
attractor714	2	2	2	1
attractor715	2	2	2	2
attractor716	2	2	2	1
attractor717	2	2	2	2
attractor718	2	2	2	2
attractor719	1	1	1	3
attractor720	1	1	1	3
attractor721	2	2	2	1
attractor722	2	3	2	1
attractor723	2	2	2	2
attractor724	2	2	2	1
attractor725	3	4	2	2
attractor726	2	2	2	1
attractor727	2	2	2	2
attractor728	2	2	2	2
attractor729	2	2	2	1
attractor730	2	2	2	1
attractor731	2	2	2	2
attractor732	2	2	2	1
attractor733	2	2	2	1
attractor734	2	2	2	1
attractor735	2	2	2	2
attractor736	2	2	2	2
attractor737	2	2	2	2
attractor738	2	2	2	2
attractor739	2	2	2	1
attractor740	2	3	2	1
attractor741	2	2	2	2
attractor742	2	2	2	1
attractor743	1	1	1	3
attractor744	1	1	1	3
attractor745	1	1	1	3
attractor746	1	1	1	3
attractor747	1	1	1	3
attractor748	2	3	2	1
attractor749	2	2	2	1
attractor750	2	2	2	1
attractor751	2	2	2	1
attractor752	2	2	2	1
attractor753	2	2	2	2
attractor754	2	2	2	2
attractor755	2	2	2	1
attractor756	2	2	2	1
attractor757	2	2	2	1
attractor758	2	2	2	2
attractor759	2	2	2	1
attractor760	1	1	1	3
attractor761	2	2	2	1
attractor762	2	2	2	1
attractor763	2	2	2	1
attractor764	1	1	1	3
attractor765	1	1	1	3
attractor766	3	4	1	3
attractor767	1	1	1	3
attractor768	1	1	1	3
attractor769	2	2	2	1
attractor770	2	2	2	1
attractor771	1	1	1	3
attractor772	2	2	2	2
attractor773	2	3	2	2
attractor774	2	2	2	2
attractor775	2	2	2	1
attractor776	2	2	2	1
attractor777	2	2	2	1
attractor778	2	3	2	1
attractor779	2	2	2	2
attractor780	1	1	1	3
attractor781	2	2	2	2
attractor782	1	1	1	3
attractor783	2	2	2	1
attractor784	2	2	2	2
attractor785	2	2	2	2
attractor786	2	2	2	1
attractor787	1	1	1	3
attractor788	2	2	2	1
attractor789	2	2	2	2
attractor790	2	2	2	1
attractor791	2	2	2	2
attractor792	2	2	2	1
attractor793	2	2	2	2
attractor794	1	1	1	3
attractor795	2	2	1	3
attractor796	2	2	2	2
attractor797	2	3	2	1
attractor798	2	2	2	1
attractor799	2	2	2	1
attractor800	2	2	2	2
attractor801	2	2	2	2
attractor802	2	2	2	1
attractor803	2	2	2	1
attractor804	2	2	2	1
attractor805	1	1	1	3
attractor806	2	2	2	1
attractor807	2	2	2	2
attractor808	2	2	2	1
attractor809	2	2	2	1
attractor810	2	3	2	1
attractor811	1	1	1	3
attractor812	3	4	1	3
attractor813	2	2	2	2
attractor814	1	1	1	3
attractor815	2	2	2	2
attractor816	2	3	2	1
attractor817	2	2	2	1
attractor818	1	1	1	3
attractor819	2	2	2	1
attractor820	2	2	2	1
attractor821	2	2	2	1
attractor822	2	2	2	1
attractor823	1	1	1	3
attractor824	2	2	1	3
attractor825	2	2	2	2
attractor826	1	1	1	3
attractor827	2	2	2	1
attractor828	2	2	2	1
attractor829	2	2	2	2
attractor830	3	4	1	3
attractor831	2	2	2	2
attractor832	2	2	2	2
attractor833	2	2	2	1
attractor834	2	2	2	1
attractor835	2	2	2	1
attractor836	2	2	2	2
attractor837	2	2	2	1
attractor838	2	2	2	2
attractor839	2	2	2	1
attractor840	2	2	2	2
attractor841	2	2	2	1
attractor842	2	2	2	2
attractor843	2	2	2	1
attractor844	2	2	2	1
attractor845	1	1	1	3
attractor846	2	2	2	1
