A_hierarchical_2 A_hierarchical_3 A_KM_2 B_KM_2 B_KM_3 C_km_2 C_km_3 D_hierarchical_3 D_hierarchical_4 D_km_2 E_hierarchical_2 E_hierarchical_3 E_km_2 F_hierarchical_10 F_km_2 F_km_3
attractor280 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor281 1 1 2 2 2 2 1 1 1 1 2 2 2 2 1 1
attractor282 2 2 2 1 1 2 2 2 2 2 2 2 2 3 2 3
attractor283 1 3 2 2 2 2 2 2 2 1 1 1 2 1 1 1
attractor284 2 2 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor285 1 3 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor286 1 1 1 1 1 1 2 2 2 2 1 1 1 2 2 3
attractor287 1 1 1 1 3 1 1 2 2 2 1 3 1 9 2 2
attractor288 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor289 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor290 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor291 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor292 1 1 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor293 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor294 1 1 2 1 1 2 3 2 2 2 1 1 2 2 2 3
attractor295 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor296 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor297 1 1 2 2 2 2 3 1 1 1 2 2 2 1 1 1
attractor298 1 3 1 1 1 1 3 2 2 2 2 2 1 2 2 2
attractor299 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor300 1 3 1 2 2 1 3 2 2 1 2 2 1 1 1 1
attractor301 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor302 2 2 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor303 2 2 2 1 1 2 2 2 2 1 1 1 2 2 1 3
attractor304 2 2 2 2 2 2 2 2 2 1 2 2 2 1 1 1
attractor305 1 1 2 1 3 2 1 2 3 2 2 2 2 2 2 2
attractor306 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor307 2 2 2 1 1 2 1 2 2 2 1 1 2 2 2 3
attractor308 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor309 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor310 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor311 2 2 2 2 2 2 2 2 2 2 1 1 2 2 1 3
attractor312 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor313 1 1 1 1 3 1 3 2 3 2 1 1 1 3 2 2
attractor314 1 3 2 1 3 2 1 2 3 2 1 1 2 1 2 2
attractor315 1 1 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor316 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor317 1 1 2 2 2 2 1 2 2 1 2 2 2 1 1 1
attractor318 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor319 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor320 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor321 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor322 1 1 2 1 3 2 1 2 2 2 1 1 2 2 2 2
attractor323 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor324 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor325 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
