ID	average_intensity
E7EVT2	91.6
E7EVU5	1.69
E7EVY3	901.0
E7EW60	4.82
E7EW69	176.0
E7EW84	170.0
E7EWC2	83.2
E7EWF8	4.79
E7EWI9	6710.0
E7EWK3	20.1
E7EWP0	231.0
E7EWP2	2.95
E7EWR4	85.9
E7EWT1	1740.0
E7EWU3	175.0
E7EWZ6	90.1
E7EX40	4.9
E7EX41	0.0885
E7EX44	2.52
E7EX64	12.9
E7EX83	48.0
E7EXA3	193.0
E7EXA6	2.19
E9PAL9	8.41
E9PAN9	2110.0
E9PAU2	187.0
E9PAV2	1130.0
E9PAV3	596.0
E9PB02	143.0
E9PB14	142.0
E9PB24	3440.0
E9PB30	99.0
E9PB51	200.0
E9PB61	1030.0
E9PB90	233.0
E9PB91	390.0
E9PB95	18.7
E9PBB0	45.3
E9PBB4	3.7
E9PBE1	1.26
E9PBF5	563.0
E9PBF6	2070.0
E9PBF7	13.8
E9PBJ4	94600.0
E9PBK4	1120.0
E9PBK7	196.0
E9PBQ9	5040.0
E9PBR7	119.0
E9PBY7	104.0
E9PC01	802.0
E9PC49	137.0
E9PC62	30.6
E9PC67	104.0
E9PC69	46.4
E9PC87	0.627
E9PCA1	3600.0
E9PCB6	133.0
E9PCG9	0.491
E9PCH6	0.689
E9PCI9	2570.0
E9PCK7	204.0
E9PCU1	8.75
E9PCV0	53.6
E9PCV4	0.654
E9PCW1	27.9
E9PCX3	2.01
E9PCY5	96.8
E9PD64	12.1
E9PD90	1.79
E9PDB2	19200.0
E9PDD9	83.5
E9PDF6	475.0
E9PDL6	1280.0
E9PDM8	44.9
E9PDP5	41.8
E9PDW2	516.0
E9PE17	290.0
E9PE34	3.08
E9PE68	28.6
E9PE75	1.82
E9PEC4	0.615
E9PEH9	131.0
E9PEQ4	307.0
E9PER7	16.4
E9PEW0	2.07
E9PEZ3	471.0
E9PF50	21.8
E9PF63	26.8
E9PF66	0.283
E9PF74	7.07
E9PFC1	6.08
E9PFD7	55.6
E9PFG1	43.5
E9PFH7	23.0
E9PFH8	1250.0
E9PFK5	69.0
E9PFM7	3.6
E9PFM9	7.95
E9PFS5	181.0
E9PFU1	1010.0
E9PG22	13.5
E9PG39	284.0
E9PG46	52.1
E9PGF5	74.8
E9PGK1	8.23
E9PGL4	55.4
E9PGM4	334.0
E9PGM9	1.95
E9PGQ4	1.1
E9PGT1	602.0
E9PGT3	229.0
E9PGT6	406.0
E9PGY5	2.64
E9PGZ2	129.0
E9PH18	2.74
