leuk_attr apop_attr Hamming_Distance Percent_accuracy
is_000609 is_044295 0.25 75.0
is_000609 is_044383 0.5 50.0
is_000609 is_044428 0.375 62.5
is_000609 is_044447 0.5 50.0
is_000609 is_044815 0.375 62.5
is_000609 is_044836 0.5 50.0
is_000609 is_044980 0.375 62.5
is_000609 is_045198 0.625 37.5
is_000609 is_045217 0.5 50.0
is_000609 is_045380 0.5 50.0
is_000609 is_045386 0.5 50.0
is_000609 is_045427 0.625 37.5
is_000609 is_045454 0.375 62.5
is_000609 is_045490 0.5 50.0
is_000609 is_045611 0.75 25.0
is_000609 is_045624 0.25 75.0
is_000609 is_045719 0.625 37.5
is_000609 is_045734 0.625 37.5
is_000609 is_045801 0.5 50.0
is_000609 is_045837 0.5 50.0
is_000609 is_045857 0.5 50.0
is_000609 is_045886 0.375 62.5
is_000609 is_045938 0.5 50.0
is_000609 is_046052 0.25 75.0
is_000609 is_046125 0.25 75.0
is_000609 is_046126 0.5 50.0
is_000609 is_046174 0.75 25.0
is_000609 is_046510 0.5 50.0
is_000609 is_046644 0.375 62.5
is_000609 is_046668 0.625 37.5
is_000609 is_046686 0.5 50.0
is_000609 is_046697 0.25 75.0
is_000609 is_046714 0.25 75.0
is_000609 is_046720 0.625 37.5
is_000609 is_046743 0.25 75.0
is_000609 is_046896 0.375 62.5
is_000609 is_046984 0.375 62.5
is_000609 is_047031 0.75 25.0
is_000609 is_047041 0.375 62.5
is_000609 is_047114 0.5 50.0
is_000609 is_047146 0.5 50.0
is_000609 is_047150 0.5 50.0
is_000609 is_047170 0.625 37.5
is_000609 is_047240 0.75 25.0
is_000609 is_047257 0.375 62.5
is_000609 is_047266 0.25 75.0
is_000609 is_047280 0.375 62.5
is_000609 is_047311 0.125 87.5
is_000609 is_047359 0.375 62.5
is_000609 is_047369 0.625 37.5
is_000609 is_047375 0.25 75.0
is_000609 is_047442 0.125 87.5
is_000609 is_047520 0.375 62.5
is_000609 is_047581 0.5 50.0
is_000609 is_047613 0.625 37.5
is_000609 is_047625 0.375 62.5
is_000609 is_047637 0.0 100.0
is_000609 is_047715 0.25 75.0
is_000609 is_047873 0.375 62.5
is_000609 is_048300 0.5 50.0
is_000609 is_048313 0.125 87.5
is_000609 is_048413 0.25 75.0
is_000609 is_048652 0.125 87.5
is_000609 is_048765 0.5 50.0
is_000609 is_048809 0.375 62.5
is_000609 is_048868 0.125 87.5
is_000609 is_048953 0.25 75.0
is_000609 is_048981 0.25 75.0
is_000609 is_048989 0.375 62.5
is_000609 is_049006 0.125 87.5
is_000609 is_049056 0.75 25.0
is_000609 is_049141 0.375 62.5
is_000609 is_049161 0.5 50.0
is_000609 is_049174 0.625 37.5
is_000609 is_049180 0.375 62.5
is_000609 is_049227 0.125 87.5
is_000609 is_049244 0.625 37.5
is_000609 is_049260 0.375 62.5
is_000609 is_049294 0.5 50.0
is_000609 is_049420 0.625 37.5
is_000609 is_049492 0.125 87.5
is_000609 is_049525 0.0 100.0
is_000609 is_049622 0.125 87.5
is_000609 is_049731 0.25 75.0
is_000609 is_049734 0.5 50.0
is_000609 is_049768 0.375 62.5
is_000609 is_049874 0.625 37.5
is_000609 is_049951 0.5 50.0
is_000609 is_049962 0.5 50.0
is_000609 is_049972 0.625 37.5
is_000609 is_050014 0.25 75.0
is_000609 is_050029 0.375 62.5
is_000609 is_050050 0.5 50.0
is_000609 is_050155 0.75 25.0
is_000609 is_050197 0.5 50.0
is_000609 is_050276 0.5 50.0
is_000609 is_050302 0.375 62.5
is_000609 is_050449 0.5 50.0
is_000609 is_050455 0.25 75.0
is_000609 is_050599 0.625 37.5
is_000609 is_050629 0.25 75.0
is_000609 is_050678 0.625 37.5
is_000609 is_050840 0.375 62.5
is_000609 is_050873 0.75 25.0
is_000609 is_050931 0.375 62.5
is_000609 is_050983 0.75 25.0
is_000609 is_051096 0.375 62.5
is_000609 is_051106 0.25 75.0
is_000609 is_051127 0.875 12.5
is_000609 is_051251 0.625 37.5
is_000609 is_051337 0.5 50.0
is_000609 is_051449 0.75 25.0
is_000609 is_051469 0.125 87.5
is_000609 is_051539 0.5 50.0
is_000609 is_051543 0.5 50.0
is_000609 is_051616 0.375 62.5
is_000609 is_051771 0.375 62.5
is_000609 is_051902 0.625 37.5
is_000609 is_052023 0.375 62.5
is_000609 is_052072 0.5 50.0
is_000609 is_052128 0.0 100.0
is_000609 is_052200 0.375 62.5
is_000609 is_052280 0.25 75.0
is_000609 is_052318 0.875 12.5
is_000609 is_052377 0.375 62.5
is_000609 is_052405 0.75 25.0
is_000609 is_052419 0.75 25.0
is_000609 is_052464 0.25 75.0
is_000609 is_052472 0.5 50.0
is_000609 is_052500 0.625 37.5
is_000609 is_052605 0.25 75.0
is_000609 is_052610 0.375 62.5
is_000609 is_052761 0.25 75.0
is_000609 is_052791 0.375 62.5
is_000609 is_052804 0.25 75.0
is_000609 is_052888 0.5 50.0
is_000609 is_053087 0.5 50.0
is_000609 is_053099 0.75 25.0
is_000609 is_053114 0.5 50.0
is_000609 is_053330 0.5 50.0
is_000609 is_053438 0.125 87.5
is_000609 is_053442 0.75 25.0
is_000609 is_053485 0.375 62.5
is_000609 is_053531 0.375 62.5
is_000609 is_053615 0.25 75.0
is_000609 is_053616 0.5 50.0
is_000609 is_053701 0.125 87.5
is_000609 is_053712 0.75 25.0
is_000609 is_053775 0.75 25.0
is_000609 is_053813 0.625 37.5
is_000609 is_053879 0.375 62.5
is_000609 is_053984 0.75 25.0
is_000609 is_054021 0.5 50.0
is_000609 is_054056 0.125 87.5
is_000609 is_054151 0.625 37.5
is_000609 is_054313 0.375 62.5
is_000609 is_054316 0.375 62.5
